# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.02.2019 21:00";"5.1";"778.7";"778.3";"0.5";"82";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"18.0";"2.3";"Осадков нет";"1";"";"";"";"";
"24.02.2019 20:00";"7.3";"778.7";"778.3";"0.4";"70";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"14.0";"2.2";"Осадков нет";"1";"";"";"";"";
"24.02.2019 19:00";"9.8";"778.5";"778.0";"0.1";"59";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"14.4";"";"";"";"";"";"26.0";"2.0";"Осадков нет";"12";"";"";"";"";
"24.02.2019 18:00";"10.7";"778.2";"777.8";"-0.4";"56";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"35.0";"2.1";"Осадков нет";"1";"";"";"";"";
"24.02.2019 17:00";"13.6";"778.3";"777.8";"-0.4";"43";"Ветер, дующий с востока";"2";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"1.3";"Осадков нет";"1";"";"";"";"";
"24.02.2019 16:00";"14.4";"778.4";"778.0";"-0.6";"40";"Ветер, дующий с юго-востока";"2";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"0.8";"Осадков нет";"1";"";"";"";"";
"24.02.2019 15:00";"13.9";"778.6";"778.1";"-0.3";"40";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"29.0";"0.3";"Осадков нет";"1";"";"";"";"";
"24.02.2019 14:00";"13.6";"778.7";"778.3";"0.1";"37";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"20.0";"-1.0";"Осадков нет";"1";"";"";"";"";
"24.02.2019 13:00";"12.9";"779.0";"778.5";"0.7";"36";"Ветер, дующий с юго-юго-востока";"1";"3";"3";"100%.";"Облака в целом образовывались или развивались. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"28.0";"-1.9";"Осадков нет";"6";"";"";"";"";
"24.02.2019 12:00";"11.5";"778.9";"778.4";"0.6";"42";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"30.0";"-1.1";"Осадков нет";"1";"";"";"";"";
"24.02.2019 11:00";"8.9";"778.6";"778.1";"0.5";"56";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"25.0";"0.6";"Осадков нет";"1";"";"";"";"";
"24.02.2019 10:00";"6.2";"778.3";"777.9";"0.3";"68";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"25.0";"0.6";"Осадков нет";"1";"";"";"";"";
"24.02.2019 09:00";"3.1";"778.3";"777.8";"0.6";"83";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"-1.6";"";"";"";"";"";"";"18.0";"0.4";"Осадков нет";"1";"";"";"";"";
"24.02.2019 08:00";"0.0";"778.1";"777.6";"0.7";"88";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"17.0";"-1.7";"Осадков нет";"1";"";"";"";"";
"24.02.2019 07:00";"1.7";"778.0";"777.7";"0.6";"84";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"-1.6";"";"";"";"";"";"";"19.0";"-0.7";"Осадков нет";"12";"";"";"";"";
"24.02.2019 06:00";"-0.9";"777.7";"777.1";"0.1";"95";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"12.0";"-1.6";"Осадков нет";"1";"";"";"";"";
"24.02.2019 05:00";"1.2";"777.4";"777.1";"0.0";"89";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"15.0";"-0.4";"Осадков нет";"1";"";"";"";"";
"24.02.2019 04:00";"-0.6";"777.4";"777.0";"-0.2";"91";"Ветер, дующий с севера";"2";"3";"4";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"12.0";"-1.9";"Осадков нет";"1";"";"";"";"";
"24.02.2019 03:00";"0.5";"777.6";"777.1";"0.0";"88";"Ветер, дующий с северо-северо-запада";"3";"3";"3";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"16.0";"-1.3";"Осадков нет";"1";"";"";"";"";
"24.02.2019 02:00";"4.9";"777.4";"776.9";"-0.1";"70";"Ветер, дующий с востоко-юго-востока";"1";"2";"4";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"25.0";"-0.1";"Осадков нет";"1";"";"";"";"";
"24.02.2019 01:00";"2.7";"777.6";"777.1";"0.2";"81";"Ветер, дующий с востока";"1";"2";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"20.0";"-0.3";"Осадков нет";"6";"";"";"";"";
"24.02.2019 00:00";"4.0";"777.6";"777.2";"0.2";"77";"Ветер, дующий с востоко-юго-востока";"2";"3";"4";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"20.0";"0.3";"Осадков нет";"1";"";"";"";"";
"23.02.2019 23:00";"6.3";"777.5";"777.1";"0.1";"69";"Ветер, дующий с востоко-юго-востока";"2";"4";"5";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"22.0";"1.0";"Осадков нет";"1";"";"";"";"";
"23.02.2019 22:00";"6.7";"777.4";"777.0";"0.0";"71";"Ветер, дующий с востоко-юго-востока";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"19.0";"1.7";"Осадков нет";"1";"";"";"";"";
"23.02.2019 21:00";"7.4";"777.4";"777.0";"0.1";"71";"Ветер, дующий с востоко-юго-востока";"3";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"19.0";"2.5";"Осадков нет";"1";"";"";"";"";
"23.02.2019 20:00";"8.3";"777.4";"776.9";"0.0";"71";"Ветер, дующий с востоко-юго-востока";"3";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"18.0";"3.3";"Осадков нет";"1";"";"";"";"";
"23.02.2019 19:00";"8.8";"777.4";"776.8";"-0.1";"73";"Ветер, дующий с востока";"3";"4";"7";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"12.7";"";"";"2500 или более, или облаков нет.";"";"";"19.0";"4.1";"Осадков нет";"12";"";"";"";"";
"23.02.2019 18:00";"10.3";"777.3";"776.8";"-0.5";"69";"Ветер, дующий с востока";"4";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"21.0";"4.8";"Осадков нет";"1";"";"";"";"";
"23.02.2019 17:00";"11.4";"777.4";"776.9";"-0.6";"69";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"18.0";"5.9";"Осадков нет";"1";"";"";"";"";
"23.02.2019 16:00";"12.2";"777.5";"777.1";"-0.9";"68";"Ветер, дующий с востоко-юго-востока";"4";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"17.0";"6.4";"Осадков нет";"1";"";"";"";"";
"23.02.2019 15:00";"12.4";"777.8";"777.4";"-0.8";"68";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"19.0";"6.5";"Осадков нет";"1";"";"";"";"";
"23.02.2019 14:00";"11.9";"778.0";"777.6";"-0.5";"68";"Ветер, дующий с востоко-юго-востока";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"21.0";"6.1";"Осадков нет";"1";"";"";"";"";
"23.02.2019 13:00";"11.6";"778.4";"778.0";"-0.2";"70";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"16.0";"6.3";"Осадков нет";"6";"";"";"";"";
"23.02.2019 12:00";"10.2";"778.6";"778.2";"-0.3";"77";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"13.0";"6.3";"Осадков нет";"1";"";"";"";"";
"23.02.2019 11:00";"8.6";"778.5";"778.0";"-0.2";"82";"Ветер, дующий с юго-востока";"3";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"11.0";"5.7";"Осадков нет";"1";"";"";"";"";
"23.02.2019 10:00";"7.4";"778.6";"778.2";"-0.1";"88";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"9.0";"5.5";"Осадков нет";"1";"";"";"";"";
"23.02.2019 09:00";"5.9";"778.9";"778.4";"0.1";"94";"Ветер, дующий с востоко-юго-востока";"3";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"2.0";"";"";"";"2500 или более, или облаков нет.";"";"";"6.0";"5.0";"Осадков нет";"1";"";"";"";"";
"23.02.2019 08:00";"5.1";"778.7";"778.3";"0.3";"97";"Ветер, дующий с востоко-юго-востока";"3";"";"";"70 – 80%.";"Дымка. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.3";"4.7";"Осадков нет";"1";"";"";"";"";
"23.02.2019 07:00";"3.0";"778.7";"778.2";"0.1";"100";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"2.0";"";"";"";"";"";"";"2.3";"3.0";"Осадков нет";"12";"";"";"";"";
"23.02.2019 06:00";"4.7";"778.8";"778.3";"-0.1";"99";"Ветер, дующий с востока";"3";"";"";"20–30%.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"3.0";"4.6";"Осадков нет";"1";"";"";"";"";
"23.02.2019 05:00";"5.7";"778.4";"778.0";"-0.7";"98";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"";"";"";"";"";"";"";"4.1";"5.4";"Осадков нет";"1";"";"";"";"";
"23.02.2019 04:00";"6.5";"778.6";"778.1";"-0.5";"96";"Ветер, дующий с востоко-юго-востока";"3";"4";"";"Облаков нет.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"";"";"";"";"";"";"";"4.3";"5.9";"Осадков нет";"1";"";"";"";"";
"23.02.2019 03:00";"6.8";"778.9";"778.3";"-0.1";"95";"Ветер, дующий с востоко-юго-востока";"4";"5";"5";"Облаков нет.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"";"";"";"";"";"";"";"4.3";"6.1";"Осадков нет";"1";"";"";"";"";
"23.02.2019 02:00";"7.3";"779.1";"778.6";"-0.1";"93";"Ветер, дующий с востока";"3";"";"6";"100%.";"Дымка. ";"Пониженная видимость.";"Пониженная видимость.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"5.0";"6.3";"Осадков нет";"1";"";"";"";"";
"23.02.2019 01:00";"7.9";"779.1";"778.6";"0.2";"92";"Ветер, дующий с востока";"3";"4";"";"100%.";"Дымка. ";"Пониженная видимость.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"6.0";"6.6";"Осадков нет";"6";"";"";"";"";
"23.02.2019 00:00";"8.4";"779.0";"778.6";"-0.1";"90";"Ветер, дующий с востока";"3";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"8.0";"6.9";"Осадков нет";"1";"";"";"";"";
"22.02.2019 23:00";"8.7";"779.2";"778.7";"0.1";"89";"Ветер, дующий с востока";"2";"3";"4";"100%.";"Состояние неба в общем не изменилось. ";"Пониженная видимость.";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"7.0";"Осадков нет";"1";"";"";"";"";
"22.02.2019 22:00";"7.7";"778.9";"778.5";"0.0";"94";"Ветер, дующий с востока";"2";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"7.0";"6.8";"Осадков нет";"1";"";"";"";"";
"22.02.2019 21:00";"9.8";"779.1";"778.6";"0.6";"90";"Ветер, дующий с востока";"3";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"600-1000";"";"";"8.0";"8.3";"Осадков нет";"1";"";"";"";"";
"22.02.2019 20:00";"10.7";"779.1";"778.6";"0.5";"85";"Ветер, дующий с востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"18.0";"8.3";"Осадков нет";"1";"";"";"";"";
"22.02.2019 19:00";"10.9";"778.9";"778.4";"0.7";"85";"Ветер, дующий с востока";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"12.6";"";"";"300-600";"";"";"15.0";"8.5";"Осадков нет";"12";"";"";"";"";
"22.02.2019 18:00";"11.4";"778.5";"778.1";"0.4";"86";"Ветер, дующий с востока";"4";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"300-600";"";"";"8.0";"9.2";"Осадков нет";"1";"";"";"";"";
"22.02.2019 17:00";"11.9";"778.6";"778.1";"0.3";"86";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"11.0";"9.6";"Осадков нет";"1";"";"";"";"";
"22.02.2019 16:00";"12.3";"778.2";"777.7";"0.2";"85";"Ветер, дующий с востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"10.0";"9.8";"Осадков нет";"1";"";"";"";"";
"22.02.2019 15:00";"12.3";"778.1";"777.7";"0.0";"84";"Ветер, дующий с востока";"2";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"300-600";"";"";"9.0";"9.6";"Осадков нет";"1";"";"";"";"";
"22.02.2019 14:00";"12.2";"778.3";"778.0";"0.3";"85";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"300-600";"";"";"8.0";"9.7";"Осадков нет";"1";"";"";"";"";
"22.02.2019 13:00";"11.8";"778.0";"777.4";"0.3";"85";"Ветер, дующий с востоко-северо-востока";"1";"2";"3";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"";"300-600";"";"";"7.0";"9.3";"Осадков нет";"6";"";"";"";"";
"22.02.2019 12:00";"9.4";"778.1";"777.7";"0.7";"92";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"600-1000";"";"";"5.0";"8.1";"Осадков нет";"1";"";"";"";"";
"22.02.2019 11:00";"8.4";"778.0";"777.6";"1.1";"94";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"600-1000";"";"";"5.0";"7.5";"Осадков нет";"1";"";"";"";"";
"22.02.2019 10:00";"7.5";"777.7";"777.4";"1.5";"96";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"300-600";"";"";"4.6";"6.9";"Осадков нет";"1";"";"";"";"";
"22.02.2019 09:00";"6.6";"777.4";"776.9";"1.8";"98";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"";"";"5.8";"";"";"100%.";"300-600";"";"";"3.9";"6.3";"Осадков нет";"1";"";"";"";"";
"22.02.2019 08:00";"6.0";"776.9";"776.4";"1.5";"100";"Ветер, дующий с запада";"1";"1";"2";"100%.";"Туман ";"Туман";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"Менее 50";"";"";"2.0";"6.0";"";"";"";"";"";"";
"22.02.2019 07:00";"5.9";"776.2";"775.7";"1.0";"100";"Ветер, дующий с запада";"1";"2";"4";"100%.";"Туман или ледяной туман начался или усилился в течение последнего часа. ";"Пониженная видимость.";"Никаких особых явлений погоды не наблюдалось.";"5.8";"";"";"";"Менее 50";"";"";"0.6";"5.9";"Осадков нет";"12";"";"";"";"";
"22.02.2019 06:00";"6.0";"775.6";"775.2";"0.6";"100";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дымка. ";"Туман";"";"";"";"";"100%.";"Менее 50";"";"";"1.1";"6.0";"Осадков нет";"1";"";"";"";"";
"22.02.2019 05:00";"6.4";"775.4";"775.0";"0.7";"100";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"50-100";"";"";"3.4";"6.4";"Осадков нет";"1";"";"";"";"";
"22.02.2019 04:00";"6.5";"775.2";"774.7";"0.6";"100";"Ветер, дующий с западо-юго-запада";"2";"2";"4";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"50-100";"";"";"2.4";"6.5";"Осадков нет";"1";"";"";"";"";
"22.02.2019 03:00";"6.6";"775.0";"774.6";"1.0";"100";"Ветер, дующий с западо-юго-запада";"2";"3";"4";"100%.";"Туман ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"50-100";"";"";"2.0";"6.6";"Осадков нет";"1";"";"";"";"";
"22.02.2019 02:00";"6.9";"774.7";"774.2";"1.0";"100";"Ветер, дующий с западо-юго-запада";"2";"2";"4";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман начался или усилился в течение последнего часа. ";"Туман";"Пониженная видимость.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.7";"6.9";"Осадков нет";"1";"";"";"";"";
"22.02.2019 01:00";"7.0";"774.6";"774.1";"1.5";"99";"Ветер, дующий с западо-юго-запада";"3";"4";"7";"100%.";"Дымка. ";"Пониженная видимость.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"Менее 50";"";"";"2.1";"6.9";"Осадков нет";"6";"";"";"";"";
"22.02.2019 00:00";"7.4";"774.0";"773.6";"1.4";"99";"Ветер, дующий с западо-юго-запада";"3";"4";"4";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"50-100";"";"";"2.0";"7.3";"Осадков нет";"1";"";"";"";"";
"21.02.2019 23:00";"8.0";"773.7";"773.2";"1.2";"99";"Ветер, дующий с западо-юго-запада";"3";"4";"6";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"100-200";"";"";"3.2";"7.9";"Осадков нет";"1";"";"";"";"";
"21.02.2019 22:00";"8.2";"773.1";"772.6";"0.8";"97";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"100-200";"";"";"4.2";"7.7";"Осадков нет";"1";"";"";"";"";
"21.02.2019 21:00";"8.5";"772.6";"772.2";"1.1";"96";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"600-1000";"";"";"5.0";"7.9";"Осадков нет";"1";"";"";"";"";
"21.02.2019 20:00";"8.6";"772.5";"772.1";"1.4";"96";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"300-600";"";"";"6.0";"8.0";"Осадков нет";"1";"";"";"";"";
"21.02.2019 19:00";"8.5";"772.3";"771.8";"1.5";"98";"Ветер, дующий с западо-юго-запада";"2";"4";"10";"100%.";"Дымка. ";"Морось.";"Пониженная видимость.";"";"11.9";"";"";"100-200";"";"";"5.0";"8.2";"0.5";"12";"";"";"";"";
"21.02.2019 18:00";"8.5";"771.5";"771.1";"1.1";"98";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Дождь.";"Пониженная видимость.";"";"";"";"100%.";"100-200";"";"";"3.2";"8.2";"0.2";"1";"";"";"";"";
"21.02.2019 17:00";"8.6";"771.1";"770.8";"0.8";"97";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Морось незамерзающая умеренная. ";"Дождь.";"Пониженная видимость.";"";"";"";"100%.";"100-200";"";"";"1.6";"8.2";"0.1";"1";"";"";"";"";
"21.02.2019 16:00";"8.9";"770.8";"770.3";"0.7";"95";"Ветер, дующий с запада";"5";"";"";"100%.";"Дождь (незамерзающий). ";"Морось.";"";"";"";"";"100%.";"100-200";"";"";"5.0";"8.1";"0.3";"1";"";"";"";"";
"21.02.2019 15:00";"9.8";"770.4";"769.9";"0.2";"89";"Ветер, дующий с западо-юго-запада";"7";"";"";"100%.";"Морось незамерзающая слабая. ";"Дождь.";"";"";"";"";"100%.";"300-600";"";"";"4.7";"8.1";"Осадков нет";"1";"";"";"";"";
"21.02.2019 14:00";"11.2";"770.3";"769.9";"0.1";"79";"Ветер, дующий с западо-юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"17.0";"7.7";"Осадков нет";"1";"";"";"";"";
"21.02.2019 13:00";"11.4";"770.1";"769.6";"0.3";"77";"Ветер, дующий с западо-юго-запада";"7";"9";"9";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"";"600-1000";"";"";"15.0";"7.4";"Осадков нет";"6";"";"";"";"";
"21.02.2019 12:00";"10.9";"770.2";"769.8";"0.9";"82";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"100%.";"600-1000";"";"";"12.0";"7.9";"Осадков нет";"1";"";"";"";"";
"21.02.2019 11:00";"9.7";"770.2";"769.8";"1.7";"82";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"100%.";"1000-1500";"";"";"11.0";"6.8";"Осадков нет";"1";"";"";"";"";
"21.02.2019 10:00";"8.6";"769.8";"769.4";"1.1";"84";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"11.0";"6.1";"Осадков нет";"1";"";"";"";"";
"21.02.2019 09:00";"7.2";"769.3";"768.9";"0.6";"89";"Ветер, дующий с юга";"3";"";"";"100%.";"Дымка. ";"";"";"5.4";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"9.0";"5.5";"Осадков нет";"1";"";"";"";"";
"21.02.2019 08:00";"6.9";"768.5";"768.3";"0.1";"90";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"";"";"8.0";"5.4";"Осадков нет";"1";"";"";"";"";
"21.02.2019 07:00";"6.3";"768.7";"768.1";"0.0";"91";"Ветер, дующий с юго-юго-запада";"4";"6";"7";"100%.";"Дымка. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"5.4";"";"";"";"2500 или более, или облаков нет.";"";"";"8.0";"5.0";"Осадков нет";"12";"";"";"";"";
"21.02.2019 06:00";"6.6";"768.7";"768.2";"-0.1";"88";"Ветер, дующий с юго-запада";"5";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"11.0";"4.8";"Осадков нет";"1";"";"";"";"";
"21.02.2019 05:00";"6.6";"768.4";"768.0";"-0.3";"87";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"15.0";"4.5";"Осадков нет";"1";"";"";"";"";
"21.02.2019 04:00";"6.6";"768.7";"768.2";"0.2";"85";"Ветер, дующий с юго-запада";"4";"6";"7";"10%  или менее, но не 0";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"10%  или менее, но не 0";"1000-1500";"";"";"15.0";"4.3";"Осадков нет";"1";"";"";"";"";
"21.02.2019 03:00";"6.6";"768.8";"768.4";"0.7";"85";"Ветер, дующий с юго-запада";"5";"7";"7";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"20.0";"4.3";"Осадков нет";"1";"";"";"";"";
"21.02.2019 02:00";"6.7";"768.7";"768.3";"0.8";"84";"Ветер, дующий с юго-запада";"4";"6";"6";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"22.0";"4.1";"Осадков нет";"1";"";"";"";"";
"21.02.2019 01:00";"7.4";"768.5";"768.0";"0.6";"82";"Ветер, дующий с юго-запада";"5";"7";"9";"100%.";"Облака в целом образовывались или развивались. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"22.0";"4.5";"Осадков нет";"6";"";"";"";"";
"21.02.2019 00:00";"7.4";"768.1";"767.7";"0.2";"81";"Ветер, дующий с юго-запада";"5";"7";"9";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"22.0";"4.4";"Осадков нет";"1";"";"";"";"";
